,Content ID,Type_x,Category,User_ID,Type_y,Date,Time,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,07-11-2020,09:43:00,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,34e8add9-0206-47fd-a501-037b994650a2,disgust,06-01-2021,07:13:00,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,09-04-2021,02:46:00,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,3/28/2021,09:15:00,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,ef147ea5-9696-44d5-b6c2-a43f62fd8ce2,disgust,04-08-2020,05:40:00,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,disgust,1/14/2021,07:21:00,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,10f311c3-f547-4260-8c0e-a155008b7936,disgust,1/13/2021,11:35:00,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,054b5d2a-7ee3-49c8-912a-1cf58389ae60,disgust,11-02-2021,08:10:00,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,85503a94-e733-486e-989e-12ff9b59f2d3,disgust,5/27/2021,01:44:00,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,1f81cb56-5258-4f9e-ab2c-4dfb581b44cb,disgust,2/13/2021,04:14:00,negative,0
10,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,334e2fe8-6f2c-424c-8ed5-12c99f048722,disgust,11-09-2020,04:22:00,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,948f7e9d-49bb-4770-bc9d-cb3fb65cca15,disgust,10/13/2020,04:31:00,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,GIF,tennis,a559688e-3f10-436f-a25e-8ad553eacb89,disgust,7/23/2020,07:31:00,negative,0
13,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,3e65775b-36e4-495d-9c45-28127fb3da5f,disgust,08-12-2020,01:12:00,negative,0
14,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,92423e9a-4e8c-49bc-be75-c819912696ce,disgust,05-01-2021,01:15:00,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,317c70d5-fe65-4663-afb1-150108e0e55c,disgust,08-11-2020,02:43:00,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,video,food,cafa0d07-63be-4b5b-bc7f-c4f4091d403d,disgust,4/19/2021,01:45:00,negative,0
